ID,Nombre,Edad,Grado,Fecha de Ingreso,Calificación Matemáticas,Calificación Ciencias,Calificación Historia,Asistencia (%),Email
1,Margaret Griffin,-1.0,5.0,2014/07/06,76.0,,-5.0,,cheryl54@hotmail.com
2,,-1.0,7.0,2000/07/27,,-5.0,-5.0,,ronald04@hall-alvarez.net
3,,12.0,7.0,2014/08/11,-5.0,51.0,-5.0,,sharon96@gmail.com
4,,7.0,6.0,2014/10/03,53.0,64.0,-5.0,,
5,,,,,,-5.0,,,
6,Selena Jackson,,5.0,1987/09/14,,,-5.0,,
7,,-1.0,7.0,2019-13-25,,77.0,-5.0,95.0,kimbrian@gmail.com
8,,17.0,7.0,2003/08/22,-5.0,,,,
9,,15.0,7.0,1992-12-29,50.0,-5.0,-5.0,59.0,sandrasanders@yahoo.com
10,Yvonne Spencer,-1.0,6.0,1999-03-28,-5.0,,73.0,,
11,Evan Stanley,-1.0,5.0,2019-13-25,,,100.0,58.0,
12,Robert Serrano,,5.0,2019-13-25,85.0,78.0,,,jonathan37@maldonado.com
13,Julie Jennings,,7.0,1997/02/27,-5.0,100.0,,,tinablack@yahoo.com
14,,,7.0,1988-06-30,,68.0,68.0,81.0,
15,Kimberly Rollins,-1.0,7.0,1986-08-23,-5.0,,-5.0,89.0,
16,,-1.0,,2006-06-05,-5.0,-5.0,,,jamescurtis@friedman.com
17,,17.0,8.0,,70.0,,,,daniel51@yahoo.com
18,,-1.0,,2001-05-06,68.0,-5.0,,65.0,
19,,,8.0,,63.0,73.0,82.0,59.0,joshuacervantes@gmail.com
20,,,8.0,2007-07-01,-5.0,-5.0,61.0,81.0,
21,Mark Perez,,,2002/05/18,,76.0,,86.0,matthew47@yahoo.com
22,,,8.0,,65.0,58.0,,79.0,
23,,-1.0,7.0,2004-10-14,91.0,-5.0,-5.0,,gregoryandersen@gutierrez.com
24,John Wolf,,,,55.0,99.0,55.0,,kevinmartinez@park-hernandez.info
25,Rachel Jordan,-1.0,8.0,1975-08-07,,-5.0,50.0,,knightmelissa@hotmail.com
26,,,7.0,1998/10/23,78.0,-5.0,,96.0,
27,Dennis Howell,18.0,8.0,2006-06-15,53.0,,-5.0,51.0,
28,,-1.0,6.0,2019-13-25,78.0,,91.0,,ginagonzales@yahoo.com
29,,-1.0,8.0,2019-13-25,82.0,,-5.0,71.0,
30,,,8.0,2019-13-25,-5.0,67.0,-5.0,,
31,Natalie Miller,-1.0,5.0,2019-13-25,-5.0,76.0,,53.0,ygreen@yates-thomas.net
32,,12.0,8.0,1974/12/01,-5.0,-5.0,,,
33,Kristen Jackson,,5.0,1992/12/29,-5.0,,84.0,76.0,ashleyruiz@young.com
34,,17.0,8.0,2019-13-25,,,96.0,,usmith@yahoo.com
35,,,5.0,1995/09/18,-5.0,-5.0,,90.0,lnunez@lopez.com
36,Julie Rodriguez,,,,77.0,,-5.0,61.0,
37,Michael Zuniga,-1.0,7.0,,92.0,61.0,50.0,,
38,Randy Sullivan DDS,5.0,6.0,1975-10-16,,,-5.0,,
39,Carla Smith,-1.0,8.0,1971-11-05,-5.0,,66.0,,ffoster@gmail.com
40,Alexandria Robinson,-1.0,6.0,2019-13-25,55.0,66.0,,,
41,Julie Johnson,,8.0,1991/04/14,,,-5.0,,clarkbilly@hotmail.com
42,,,8.0,2019-13-25,-5.0,-5.0,-5.0,,adamsderek@atkins.com
43,Juan Diaz,,5.0,2011/04/01,-5.0,92.0,-5.0,,
44,,,5.0,1993-09-02,-5.0,,59.0,71.0,liloretta@hotmail.com
45,Maurice Jackson,16.0,5.0,1995-03-17,93.0,81.0,,,
46,Christina Cooper,7.0,6.0,1973/01/26,69.0,-5.0,84.0,,
47,Travis Stanton,-1.0,8.0,2019-13-25,,,,,nancy06@yahoo.com
48,Melissa Patterson,,,1980/01/02,-5.0,,-5.0,62.0,
49,,-1.0,5.0,1979/06/15,-5.0,-5.0,69.0,,
50,Courtney Mcgrath,15.0,,2003-10-29,,98.0,-5.0,,daniel70@gmail.com
51,Betty Lopez,-1.0,7.0,1979/10/05,99.0,-5.0,-5.0,94.0,freemanjohn@shields.biz
52,,11.0,5.0,2008/01/16,98.0,76.0,,84.0,erichardson@brown.com
53,Jennifer Daniels,-1.0,7.0,1971-02-25,,94.0,,,mcgeematthew@yahoo.com
54,John Hall,-1.0,6.0,,52.0,-5.0,-5.0,,kimberlywilliams@williams-mays.com
55,Steven Herrera,,6.0,1987-11-27,92.0,,74.0,83.0,angela71@brown-diaz.com
56,,-1.0,,2019-13-25,85.0,-5.0,56.0,,olopez@hotmail.com
57,,,8.0,2010-08-12,-5.0,73.0,,62.0,schroederandrew@baker.biz
58,,,5.0,2014/07/06,-5.0,53.0,-5.0,,
59,,-1.0,,,-5.0,,,,dbeck@hotmail.com
60,,,5.0,,-5.0,,,,gregory74@gmail.com
61,,,8.0,1985/05/30,-5.0,-5.0,,55.0,
62,Nicolas Wilson,,6.0,2019-13-25,88.0,-5.0,-5.0,,mwatkins@yahoo.com
63,Robert Mckinney,10.0,,2024/09/06,83.0,91.0,,54.0,
64,,-1.0,6.0,2019-13-25,-5.0,-5.0,,78.0,
65,,12.0,8.0,1989-08-20,75.0,-5.0,,,valentinekim@hotmail.com
66,,7.0,,2019-13-25,88.0,,-5.0,85.0,jonesashley@graves.com
67,Samuel Avila,,7.0,2019-13-25,90.0,-5.0,93.0,,
68,Rachel Shields,10.0,7.0,2021-01-16,-5.0,,69.0,,gwolfe@gmail.com
69,Valerie Wood,-1.0,8.0,1971-01-11,-5.0,100.0,85.0,,kellyallen@hotmail.com
70,Robert Collins,-1.0,7.0,2019-13-25,96.0,,62.0,,jenniferstewart@lam-decker.org
71,,-1.0,6.0,2019-13-25,69.0,-5.0,55.0,,
72,Lucas Chapman,9.0,7.0,1982/10/04,-5.0,59.0,,,eric63@rios.biz
73,Donald Phillips,-1.0,6.0,1995/10/20,56.0,57.0,61.0,,
74,,11.0,5.0,1974-04-10,79.0,95.0,-5.0,,
75,Jessica Foster,5.0,6.0,1970-02-12,-5.0,,,,jeffrey84@gmail.com
76,Alexander Rodriguez,-1.0,5.0,1970-07-26,,,,57.0,
77,Christine Thompson,17.0,8.0,1971-08-02,53.0,66.0,-5.0,57.0,
78,Kristy Ramirez,-1.0,8.0,,,-5.0,-5.0,93.0,gthompson@hotmail.com
79,,-1.0,8.0,1971/01/29,-5.0,-5.0,96.0,,
80,Sean Rosales,18.0,,1975/03/16,56.0,-5.0,-5.0,,iblevins@harding.biz
81,,-1.0,5.0,1992/05/01,-5.0,-5.0,,,
82,,,8.0,,-5.0,-5.0,,,
83,Taylor Schaefer,,8.0,,-5.0,-5.0,76.0,51.0,murphymelissa@sanchez-norton.net
84,,-1.0,7.0,1995/01/17,55.0,-5.0,,,kimberly87@brown.org
85,Amy Gallagher,,6.0,,,,92.0,,zellis@dean.net
86,Michael Weaver,,7.0,,89.0,,,62.0,
87,Amber Walker,,6.0,2020/04/30,-5.0,,97.0,59.0,joyreid@hill.com
88,Michelle Marsh,9.0,7.0,2004/07/31,,76.0,56.0,98.0,
89,Todd Atkins,,8.0,2019-13-25,-5.0,74.0,,83.0,
90,,5.0,6.0,,-5.0,-5.0,,86.0,ryansanchez@hernandez-gray.info
91,Daniel Lynch,11.0,7.0,2014-03-17,68.0,-5.0,-5.0,,heatherbates@gmail.com
92,Clinton Miller,12.0,6.0,2007-12-03,,-5.0,93.0,59.0,jeffreywilliams@green.biz
93,Courtney Schwartz,,7.0,,-5.0,68.0,92.0,,samuel19@hotmail.com
94,Paige Jackson,16.0,6.0,2019-13-25,,-5.0,-5.0,,
95,Ian Butler,,8.0,2019-13-25,,54.0,-5.0,56.0,
96,,,7.0,1978/08/17,,-5.0,,80.0,jmullins@robinson.com
97,Amanda Campos,-1.0,5.0,2000-03-05,,-5.0,,,
98,,6.0,,2012-09-12,-5.0,-5.0,-5.0,,shannontrujillo@campbell-price.com
99,Wendy Lee,-1.0,5.0,2000-12-30,89.0,-5.0,,,omercado@gmail.com
100,Lisa Parker,,8.0,2019-13-25,75.0,76.0,73.0,,carla60@gmail.com
101,Tanya Adams,10.0,8.0,2019-13-25,97.0,,87.0,53.0,allenchristie@hill-brown.com
102,,-1.0,7.0,2019-13-25,-5.0,,70.0,56.0,heatheryang@daniel.biz
103,Gina Hubbard,,8.0,1991-05-07,-5.0,,71.0,,kathrynlawson@hotmail.com
104,Maxwell Walker,,7.0,2022/10/16,,79.0,81.0,,jenniferharmon@hotmail.com
105,,-1.0,,,95.0,-5.0,,77.0,stevevaughn@gmail.com
106,Dennis Miller,18.0,,1993/12/14,81.0,,67.0,,
107,Anthony Macdonald,12.0,6.0,1996-08-23,-5.0,79.0,79.0,,
108,,-1.0,8.0,1998/07/21,,,70.0,82.0,sara53@daniels-french.com
