ID,Nombre,Edad,Grado,Fecha de Ingreso,Calificación Matemáticas,Calificación Ciencias,Calificación Historia,Asistencia (%),Email
1,Margaret Griffin,11.0,5.0,2014-06-07,76.0,0.0,0.0,0.0,cheryl54@hotmail.com
2,Joshua Harrington,11.0,7.0,2024-09-19,0.0,0.0,0.0,0.0,ronald04@hall-alvarez.net
3,Jerry Moore,12.0,7.0,2014-11-08,0.0,51.0,0.0,0.0,sharon96@gmail.com
4,Aaron Butler,7.0,6.0,2014-03-10,53.0,64.0,0.0,0.0,
5,Jacob Greene,11.0,0.0,2024-09-19,0.0,0.0,0.0,0.0,
6,Selena Jackson,11.0,5.0,2024-09-19,0.0,0.0,0.0,0.0,
7,Todd Ruiz,11.0,7.0,2024-09-19,0.0,77.0,0.0,95.0,kimbrian@gmail.com
8,Julie Gonzales,17.0,7.0,2024-09-19,0.0,0.0,0.0,0.0,
9,George Atkinson,15.0,7.0,2024-09-19,50.0,0.0,0.0,59.0,sandrasanders@yahoo.com
10,Yvonne Spencer,11.0,6.0,2024-09-19,0.0,0.0,73.0,0.0,
11,Evan Stanley,11.0,5.0,2024-09-19,0.0,0.0,100.0,58.0,
12,Robert Serrano,11.0,5.0,2024-09-19,85.0,78.0,0.0,0.0,jonathan37@maldonado.com
13,Julie Jennings,11.0,7.0,2024-09-19,0.0,100.0,0.0,0.0,tinablack@yahoo.com
14,Connor Mueller,11.0,7.0,2024-09-19,0.0,68.0,68.0,81.0,
15,Kimberly Rollins,11.0,7.0,2024-09-19,0.0,0.0,0.0,89.0,
16,Jeremy Johnson,11.0,0.0,2024-09-19,0.0,0.0,0.0,0.0,jamescurtis@friedman.com
17,Brianna Lee,17.0,8.0,2024-09-19,70.0,0.0,0.0,0.0,daniel51@yahoo.com
18,David Fox,11.0,0.0,2024-09-19,68.0,0.0,0.0,65.0,
19,Rachel Johnson,11.0,8.0,2024-09-19,63.0,73.0,82.0,59.0,joshuacervantes@gmail.com
20,Angel Harris,11.0,8.0,2024-09-19,0.0,0.0,61.0,81.0,
21,Mark Perez,11.0,0.0,2024-09-19,0.0,76.0,0.0,86.0,matthew47@yahoo.com
22,Elizabeth Guerra,11.0,8.0,2024-09-19,65.0,58.0,0.0,79.0,
23,Juan Myers,11.0,7.0,2024-09-19,91.0,0.0,0.0,0.0,gregoryandersen@gutierrez.com
24,John Wolf,11.0,0.0,2024-09-19,55.0,99.0,55.0,0.0,kevinmartinez@park-hernandez.info
25,Rachel Jordan,11.0,8.0,2024-09-19,0.0,0.0,50.0,0.0,knightmelissa@hotmail.com
26,Brian Curtis,11.0,7.0,2024-09-19,78.0,0.0,0.0,96.0,
27,Dennis Howell,18.0,8.0,2024-09-19,53.0,0.0,0.0,51.0,
28,Julie Daniels,11.0,6.0,2024-09-19,78.0,0.0,91.0,0.0,ginagonzales@yahoo.com
